Date time,Amount
2019-Feb-19,0
2019-Feb-20,0
2019-Feb-21,0
2019-Feb-22,0
2019-Feb-23,0
2019-Feb-24,14
2019-Feb-25,10
2019-Feb-26,5
2019-Feb-27,8
2019-Feb-28,32
2019-Mar-1,18
2019-Mar-2,35
2019-Mar-3,16
2019-Mar-4,41
2019-Mar-5,0
2019-Mar-6,0
2019-Mar-7,10
2019-Mar-8,0.8
2019-Mar-9,26
2019-Mar-10,8
2019-Mar-11,12
2019-Mar-12,0
2019-Mar-13,0
2019-Mar-14,0
2019-Mar-15,5
2019-Mar-16,2.4
2019-Mar-17,19
2019-Mar-18,88
2019-Mar-19,58
2019-Mar-20,80
2019-Mar-21,39
2019-Mar-22,60
2019-Mar-23,57
2019-Mar-24,18
2019-Mar-25,19
2019-Mar-26,16
2019-Mar-27,12
2019-Mar-28,0.4
2019-Mar-29,78
2019-Mar-30,1
2019-Mar-31,21
2019-Apr-1,12
2019-Apr-2,189
2019-Apr-3,19
2019-Apr-4,150
2019-Apr-5,7
2019-Apr-6,19
2019-Apr-7,7
2019-Apr-8,13
2019-Apr-9,0
2019-Apr-10,5
2019-Apr-11,0
2019-Apr-12,1.4
2019-Apr-13,4
2019-Apr-14,9
2019-Apr-15,22
2019-Apr-16,2
2019-Apr-17,8.2
2019-Apr-18,14
2019-Apr-19,25
2019-Apr-20,30
2019-Apr-21,1
2019-Apr-22,15
2019-Apr-23,0
2019-Apr-24,6
2019-Apr-25,9
2019-Apr-26,0
2019-Apr-27,1
2019-Apr-28,8
2019-Apr-29,16
2019-Apr-30,17
2019-May-1,25
2019-May-2,18
2019-May-3,13
2019-May-4,15
2019-May-5,2
2019-May-6,0
2019-May-7,0
2019-May-8,0
2019-May-9,0
2019-May-10,0
2019-May-11,0
2019-May-12,0
2019-May-13,0
2019-May-14,5
2019-May-15,29
2019-May-16,17
2019-May-17,12
2019-May-18,7
2019-May-19,6
2019-May-20,27
2019-May-21,3
2019-May-22,20
2019-May-23,41
2019-May-24,13
2019-May-25,1.4
2019-May-26,7
2019-May-27,6
2019-May-28,1
2019-May-29,1
2019-May-30,0.4
2019-May-31,0
2019-Jun-1,5
2019-Jun-2,0.2
2019-Jun-3,0.2
2019-Jun-4,0
2019-Jun-5,0
2019-Jun-6,0
2019-Jun-7,1.8
2019-Jun-8,11
2019-Jun-9,8
2019-Jun-10,3
2019-Jun-11,3
2019-Jun-12,3
2019-Jun-13,4
2019-Jun-14,4
2019-Jun-15,2
2019-Jun-16,1
2019-Jun-17,0.2
2019-Jun-18,2
2019-Jun-19,0
2019-Jun-20,0
2019-Jun-21,0
2019-Jun-22,0
2019-Jun-23,0
2019-Jun-24,0
2019-Jun-25,0
2019-Jun-26,0
2019-Jun-27,0
2019-Jun-28,0
2019-Jun-29,38
2019-Jun-30,0
2019-Jul-1,19
2019-Jul-2,0.4
2019-Jul-3,4
2019-Jul-4,1
2019-Jul-5,0
2019-Jul-6,7
2019-Jul-7,0.6
2019-Jul-8,0
2019-Jul-9,71
2019-Jul-10,20
2019-Jul-11,1.8
2019-Jul-12,7
2019-Jul-13,5
2019-Jul-14,0
2019-Jul-15,0
2019-Jul-16,0
2019-Jul-17,0
2019-Jul-18,0
2019-Jul-19,0
2019-Jul-20,0
2019-Jul-21,0
